ts,videoBitrate,videoIndex,videoPendingIndex,videoPendingMaxIndex,videoMaxIndex,videoBufferLength,videoDroppedFrames,videoLatencyCount,videoLatency,videoDownloadCount,videoDownload,videoRatioCount,videoRatio,videoMtp,videoEtp,videoLiveLatency,videoPlaybackRate,audioBitrate,audioIndex,audioPendingIndex,audioPendingMaxIndex,audioMaxIndex,audioBufferLength,audioDroppedFrames,audioLatencyCount,audioLatency,audioDownloadCount,audioDownload,audioRatioCount,audioRatio,audioMtp,audioEtp,Throughput,audioLiveLatency,audioPlaybackRate
17261541136,3843,8,8,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,7654,0,1
17261541137,3843,8,8,8,0,0,0,0,,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,0,7654,0,1
17261541138,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,7654,0,1
17261541139,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541140,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541141,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541142,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541143,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541144,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541145,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541146,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541147,3843,8,8,8,8,4.669,0,0,0.11 | 0.11 | 0.11,0,0.63 | 0.63 | 0.63,0,6.39 | 6.39 | 6.39,7.654,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541148,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541149,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541150,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541151,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541152,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541153,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541154,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541155,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541156,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541157,3843,8,8,8,8,6.931,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541158,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541159,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541160,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541161,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541162,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8644,0,1
17261541163,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
17261541164,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
17261541165,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
17261541166,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
17261541167,3843,8,8,8,8,5.869,0,0,0.11 | 0.11 | 0.11,0,0.23 | 0.43 | 0.63,0,6.39 | 9.40 | 17.78,8.644,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
17261541168,3843,8,8,8,8,9.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.07 | 2.35,0,1.70 | 3.75 | 17.78,8.924,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
17261541169,3843,8,8,8,8,9.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.07 | 2.35,0,1.70 | 3.75 | 17.78,8.924,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
17261541170,3843,8,8,8,8,9.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.07 | 2.35,0,1.70 | 3.75 | 17.78,8.924,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
17261541171,3843,8,8,8,8,9.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.07 | 2.35,0,1.70 | 3.75 | 17.78,8.924,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
17261541172,3843,8,8,8,8,9.606,0,0,0.11 | 0.11 | 0.11,0,0.23 | 1.07 | 2.35,0,1.70 | 3.75 | 17.78,8.924,0.000,0,1,0,0,0,0,-1,0,0,0,,0,,0,,0,0,8924.333333333334,0,1
